;;;RELAT‡RIO DE PEDIDO DE COMPRA;;;;JANEIRO/2019;;;;;;;
;;;;;;;;;;;;;;
NßOC;Linha;Data;Descriá∆o;Qtde;Vlr.Unit.;Vlr.Total;Fornecedor;;;;;;;
37463;4;22/01/19;ITEM BEC 471398-2 // M‡DULO DE MEM‡RIA RAM DE 8GB 1600MHZ DDR3 SODIMM -  P/ HP COMPAQ 8300 ELITE AIO PC - BP 112833 - SERIE: BRJ4341WSQ - RO: INC000002573241. GARANTIA 12 MESES DA DATA DE ENTREGA (BALC«O) ACEITE CDCT;2;252,25;504,50;SISTECNICA COMêRCIO IMP. DE EQUIP. DE INF. LTDA;;;;;;;
37463;5;22/01/19;ITEM BEC 523499-9 // BATERIA P/ NOTEBOOK - DELL - MODELO: LATITUDE 3540 -  BP: 134319 - SêRIE: 97V8G22 - RO: INC000002681610 GARANTIA 12 MESES DA DATA DE ENTREGA (BALC«O) ACEITE CDCT;1;227,70;227,70;SISTECNICA COMêRCIO IMP. DE EQUIP. DE INF. LTDA;;;;;;;
37463;6;22/01/19;ITEM BEC 471398-2 // M‡DULO DE MEM‡RIA RAM DE 8GB 1600MHZ DDR3  P/ HP COMPAQ 8300 ELITE AIO PC - BP: 112844 - SERIE: BRJ4341V4K - RO INC000002683016. GARANTIA 12 MESES DA DATA DE ENTREGA (BALC«O) ACEITE CDCT;1;252,25;252,25;SISTECNICA COMêRCIO IMP. DE EQUIP. DE INF. LTDA;;;;;;;
37463;7;22/01/19;ITEM BEC 523499-9 // BATERIA P/ NOTEBOOK DELL  LATITUDE 3540  BP: 134323 - SêRIE: 5X59G22 - RO: INC000002636902 GARANTIA 12 MESES DA DATA DE ENTREGA (BALC«O) ACEITE CDCT;1;227,70;227,70;SISTECNICA COMêRCIO IMP. DE EQUIP. DE INF. LTDA;;;;;;;
37463;8;22/01/19;ITEM BEC 471398-2 // M‡DULO DE MEM‡RIA RAM DE 8GB 1600MHZ DDR3 SODIMM  -  P/  HP ELITEONE 800 G1 - BP PRODESP112678 - SERIE: BRJ4341V3Z - RO: INC000002679160. GARANTIA 12 MESES DA DATA DE ENTREGA (BALC«O) ACEITE CDCT;1;252,25;252,25;SISTECNICA COMêRCIO IMP. DE EQUIP. DE INF. LTDA;;;;;;;
37462;1;21/01/19;Conserto de fragmentadora Security 3000, BP n¯ 155700, pertencente ao Posto Poupatempo Campinas Shopping,  conforme oráamento Ordem de Serviáo n¯ 8937.;580;1,00;580,00;TELEMAC EQUIPAMENTOS PARA ESCRITORIO LTDA;;;;;;;
37461;1;21/01/19;"PLµSTICO BOLHA Nß 10; 29 MICRAS; 100CM X 25M - MARCA: ATCO";1;29,90;29,90;KALUNGA COMERCIO INDUSTRIA GRAFICA LTDA;;;;;;;
37461;2;21/01/19;BARBANTE 8 FIOS 100 ALGOD«O C/ 305 MTS - MARCA: EUROROMA;10;7,70;77,00;KALUNGA COMERCIO INDUSTRIA GRAFICA LTDA;;;;;;;
37461;3;21/01/19;"IM« TIPO FERRITE P/ FIXAÄ«O EM QUALQUER SUPERF÷CIE MAGNêTICA, REDONDO, ù 8 MM, COR NATURAL GRAFITE; PCT C/ 20 UN - MARCA: CORTIARTE.";2;7,60;15,20;KALUNGA COMERCIO INDUSTRIA GRAFICA LTDA;;;;;;;
37458;1;21/01/19;CONSERTO NOTEBOOK DELL OPTIPLEX 3030 - TROCA DA TELA DANIFICADA -  BP: 138570 - SÇrie: J40NJ82 - RO: INC000002667951. TAG J40NJ82 - FUSION 39403488;1;1.071,75;1.071,75;DELL COMPUTADORES DO BRASIL LTDA;;;;;;;
